ID,Abbr,ArXiv,ArXivDate,NewestDate,Title,Insitutions,Publish,DOI,Demo,Tags,Github,Authors
wang2018neural,NSF,1810.11946v4,2018.10.29,2019.04.27,Neural Source-Filter-Based Waveform Model for Statistical Parametric Speech Synthesis,,,,,,,"Xin Wang, Shinji Takaki, Junichi Yamagishi"
holtzman2019curious,Nucleus Sampling,1904.09751v2,2019.04.22,2020.02.14,The Curious Case of Neural Text Degeneration,,,,,,,"Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, Yejin Choi"
zhang2024omniflatten,OmniFlatten,2410.17799v2,2024.10.23,2025.01.03,OmniFlatten: An End-to-End GPT Model for Seamless Voice Conversation,,,,,,,"Qinglin Zhang, Luyao Cheng, Chong Deng, Qian Chen, Wen Wang, Siqi Zheng, Jiaqing Liu, Hai Yu, Chaohong Tan, Zhihao Du, Shiliang Zhang"
zhu2026omnivoice,OmniVoice,2604.00688v3,2026.04.01,2026.04.21,OmniVoice: Towards Omnilingual Zero-Shot Text-to-Speech with Diffusion Language Models,,,,,,,"Han Zhu, Lingxuan Ye, Wei Kang, Zengwei Yao, Liyong Guo, Fangjun Kuang, Zhifeng Han, Weiji Zhuang, Long Lin, Daniel Povey"
,OpenAudioS1,,,,,,,,,,,
luo2025openomni,OpenOmni,2501.04561v6,2025.01.08,2025.09.23,OpenOmni: Advancing Open-Source Omnimodal Large Language Models with Progressive Multimodal Alignment and Real-Time Self-Aware Emotional Speech Synthesis,,,,,,,"Run Luo, Ting-En Lin, Haonan Zhang, Yuchuan Wu, Xiong Liu, Min Yang, Yongbin Li, Longze Chen, Jiaming Li, Lei Zhang, Xiaobo Xia, Hamid Alinejad-Rokny, Fei Huang"
qin2023openvoice,OpenVoice,2312.01479v6,2023.12.03,2024.08.18,OpenVoice: Versatile Instant Voice Cloning,"MIT, MyShell.ai, THU@CHN",,,,,,"Zengyi Qin, Wenliang Zhao, Xumin Yu, Xin Sun"
tian2025opuslm,OpusLM,2506.17611v1,2025.06.21,2025.06.21,OpusLM: A Family of Open Unified Speech Language Models,,,,,,,"Jinchuan Tian, William Chen, Yifan Peng, Jiatong Shi, Siddhant Arora, Shikhar Bharadwaj, Takashi Maekaku, Yusuke Shinohara, Keita Goto, Xiang Yue, Huck Yang, Shinji Watanabe"
hong2024orpo,ORPO,2403.07691v2,2024.03.12,2024.03.14,ORPO: Monolithic Preference Optimization without Reference Model,,,,,RLHF,,"Jiwoo Hong, Noah Lee, James Thorne"
geng2025osum,OSUM,2501.13306v2,2025.01.23,2025.02.16,OSUM: Advancing Open Speech Understanding Models with Limited Resources in Academia,,,,,,,"Xuelong Geng, Kun Wei, Qijie Shao, Shuiyun Liu, Zhennan Lin, Zhixian Zhao, Guojian Li, Wenjie Tian, Peikun Chen, Yangze Li, Pengcheng Guo, Mingchen Shao, Shuiyuan Wang, Yuang Cao, Chengyou Wang, Tianyi Xu, Yuhang Dai, Xinfa Zhu, Yue Li, Li Zhang, Lei Xie"
ren2026ov-instructtts,OV-InstructTTS,2601.01459v1,2026.01.04,2026.01.04,OV-InstructTTS: Towards Open-Vocabulary Instruct Text-to-Speech,,,,,,,"Yong Ren, Jiangyan Yi, Jianhua Tao, Haiyang Sun, Zhengqi Wen, Hao Gu, Le Xu, Ye Bai"
mehta2022overflow,OverFlow,2211.06892v2,2022.11.13,2023.05.29,OverFlow: Putting Flows on Top of Neural Transducers for Better TTS,KTH Royal Institute of Technology@Sweden,InterSpeech2023,,,,,"Shivam Mehta, Ambika Kirkland, Harm Lameris, Jonas Beskow, Éva Szekely, Gustav Eje Henter"
peng2023reproducing,OWSM,2309.13876v3,2023.09.25,2023.10.24,Reproducing Whisper-Style Training Using an Open-Source Toolkit and Publicly Available Data,,,,,,,"Yifan Peng, Jinchuan Tian, Brian Yan, Dan Berrebbi, Xuankai Chang, Xinjian Li, Jiatong Shi, Siddhant Arora, William Chen, Roshan Sharma, Wangyou Zhang, Yui Sudo, Muhammad Shakeel, Jee-weon Jung, Soumi Maiti, Shinji Watanabe"
peng2025owsmv4,OWSM v4,2506.00338v1,2025.05.31,2025.05.31,OWSM v4: Improving Open Whisper-Style Speech Models via Data Scaling and Cleaning,,,,,,,"Yifan Peng, Shakeel Muhammad, Yui Sudo, William Chen, Jinchuan Tian, Chyi-Jiunn Lin, Shinji Watanabe"
jiang2026ultra,P2PSynCodec,2606.05876v1,2026.06.04,2026.06.04,An Ultra-Low-Bitrate Neural Speech Codec with Plain-to-Pseudo Synergistic Vector Quantization,,,,,Codec,,"Xiao-Hang Jiang, Yang Ai, Fei Liu, Rui-Chen Zheng, Jian-Qing Gao, Zhen-Hua Ling, Ji Wu"
yang2025pseudo,PALLE,2504.10352v3,2025.04.14,2025.08.05,Pseudo-Autoregressive Neural Codec Language Models for Efficient Zero-Shot Text-to-Speech Synthesis,,ACMMM2025,,https://microsoft.com/research/project/vall-e-x/palle,,,"Yifan Yang, Shujie Liu, Jinyu Li, Yuxuan Hu, Haibin Wu, Hui Wang, Jianwei Yu, Lingwei Meng, Haiyang Sun, Yanqing Liu, Yan Lu, Kai Yu, Xie Chen"
hanif2024palm,PALM,2409.19806v1,2024.09.29,2024.09.29,PALM: Few-Shot Prompt Learning for Audio Language Models,,,,,,,"Asif Hanif, Maha Tufail Agro, Mohammad Areeb Qazi, Hanan Aldarmaki"
anil2023palm,PaLM2,2305.10403v3,2023.05.17,2023.09.13,PaLM 2 Technical Report,,,,,,,"Rohan Anil, Andrew M. Dai, Orhan Firat, Melvin Johnson, Dmitry Lepikhin, Alexandre Passos, Siamak Shakeri, Emanuel Taropa, Paige Bailey, Zhifeng Chen, Eric Chu, Jonathan H. Clark, Laurent El Shafey, Yanping Huang, Kathy Meier-Hellstern, Gaurav Mishra, Erica Moreira, Mark Omernick, Kevin Robinson, Sebastian Ruder, Yi Tay, Kefan Xiao, Yuanzhong Xu, Yujing Zhang, Gustavo Hernandez Abrego, Junwhan Ahn, Jacob Austin, Paul Barham, Jan Botha, James Bradbury, Siddhartha Brahma, Kevin Brooks, Michele Catasta, Yong Cheng, Colin Cherry, Christopher A. Choquette-Choo, Aakanksha Chowdhery, Clément Crepy, Shachi Dave, Mostafa Dehghani, Sunipa Dev, Jacob Devlin, Mark Díaz, Nan Du, Ethan Dyer, Vlad Feinberg, Fangxiaoyu Feng, Vlad Fienber, Markus Freitag, Xavier Garcia, Sebastian Gehrmann, Lucas Gonzalez, Guy Gur-Ari, Steven Hand, Hadi Hashemi, Le Hou, Joshua Howland, Andrea Hu, Jeffrey Hui, Jeremy Hurwitz, Michael Isard, Abe Ittycheriah, Matthew Jagielski, Wenhao Jia, Kathleen Kenealy, Maxim Krikun, Sneha Kudugunta, Chang Lan, Katherine Lee, Benjamin Lee, Eric Li, Music Li, Wei Li, YaGuang Li, Jian Li, Hyeontaek Lim, Hanzhao Lin, Zhongtao Liu, Frederick Liu, Marcello Maggioni, Aroma Mahendru, Joshua Maynez, Vedant Misra, Maysam Moussalem, Zachary Nado, John Nham, Eric Ni, Andrew Nystrom, Alicia Parrish, Marie Pellat, Martin Polacek, Alex Polozov, Reiner Pope, Siyuan Qiao, Emily Reif, Bryan Richter, Parker Riley, Alex Castro Ros, Aurko Roy, Brennan Saeta, Rajkumar Samuel, Renee Shelby, Ambrose Slone, Daniel Smilkov, David R. So, Daniel Sohn, Simon Tokumine, Dasha Valter, Vijay Vasudevan, Kiran Vodrahalli, Xuezhi Wang, Pidong Wang, Zirui Wang, Tao Wang, John Wieting, Yuhuai Wu, Kelvin Xu, Yunhan Xu, Linting Xue, Pengcheng Yin, Jiahui Yu, Qiao Zhang, Steven Zheng, Ce Zheng, Weikang Zhou, Denny Zhou, Slav Petrov, Yonghui Wu"
gao2022paraformer,Paraformer,2206.08317v3,2022.06.16,2023.03.30,Paraformer: Fast and Accurate Parallel Transformer for Non-Autoregressive End-to-End Speech Recognition,,,,,ASR,,"Zhifu Gao, Shiliang Zhang, Ian McLoughlin, Zhijie Yan"
an2024paraformer-v2,Paraformer-v2,2409.17746v1,2024.09.26,2024.09.26,Paraformer-v2: An Improved Non-Autoregressive Transformer for Noise-Robust Speech Recognition,,,,,ASR,,"Keyu An, Zerui Li, Zhifu Gao, Shiliang Zhang"
lin2023paralinguistics,ParalinGPT,2312.15316v2,2023.12.23,2024.01.17,Paralinguistics-Enhanced Large Language Modeling of Spoken Dialogue,,,,,,,"Guan-Ting Lin, Prashanth Gurunath Shivakumar, Ankur Gandhe, Chao-Han Huck Yang, Yile Gu, Shalini Ghosh, Andreas Stolcke, Hung-yi Lee, Ivan Bulyko"
yamamoto2019parallel,Parallel WaveGAN:,1910.11480v2,2019.10.25,2020.02.06,Parallel WaveGAN: A Fast Waveform Generation Model Based on Generative Adversarial Networks with Multi-Resolution Spectrogram,,,,,,,"Ryuichi Yamamoto, Eunwoo Song, Jae-Min Kim"
